concurrency,n_requests,p50_ms,p95_ms,mean_ms,throughput_rps,max_loop_lag_ms,alloc_cur_kb_delta,alloc_peak_kb
1,300,0.0415,0.0658,0.04530166666666667,5826.340121563386,-9.999999776482582,45.0576171875,45.361328125
9,300,0.1415,0.1603,0.14493766666666666,19435.338097061223,-9.999999776482582,24.265625,35.2431640625
64,300,0.8379,0.8839,0.8106716666666667,23801.589415189108,-9.999999776482582,61.7001953125,128.232421875
