shape,batch,repeats,p50_ms,p95_ms,mean_ms,dtype
256x256x256,1,5,0.3127,0.353,0.31958000000000003,float32
256x256x256,16,5,3.9965,5.6108,4.36336,float32
512x512x512,1,5,1.1285,1.2263,1.11694,float32
512x512x512,16,5,17.3311,17.8758,17.228540000000002,float32
1024x1024x1024,1,5,7.0372,7.1986,6.4901,float32
1024x1024x1024,16,5,114.8868,128.1529,113.8749,float32
