n_nodes,queue_max,max_inflight,process_delay_s,concurrency,n_requests,p50_ms,p95_ms,mean_ms,throughput_rps,alloc_cur_kb_delta,alloc_peak_kb
9,1024,1024,0.0,1,1200,0.0367,0.0633,0.045323583333333334,14281.888844226934,853.6943359375,1717.341796875
9,1024,1024,0.0,9,1200,0.2348,0.3228,0.28198083333333335,17963.695392128568,833.4638671875,1693.5283203125
9,1024,1024,0.0,64,1200,1.3991,7.3239,1.70477725,19270.947923684253,840.3779296875,1710.6357421875
