n_nodes,queue_max,max_inflight,process_delay_s,concurrency,n_requests,p50_ms,p95_ms,mean_ms,throughput_rps,alloc_cur_kb_delta,alloc_peak_kb
9,1024,1024,0.0,1,1200,0.0469,0.0646,0.056176416666666666,11602.375006689314,853.6943359375,1717.341796875
9,1024,1024,0.0,9,1200,0.281,0.3543,0.32811866666666667,15345.660996647888,833.4638671875,1693.5283203125
9,1024,1024,0.0,64,1200,1.7808,9.0386,2.2306565000000003,14902.963044768278,840.3779296875,1710.6357421875
