concurrency,n_requests,p50_ms,p95_ms,mean_ms,throughput_rps,max_loop_lag_ms,alloc_cur_kb_delta,alloc_peak_kb
1,300,0.0375,0.0454,0.038801,6807.243786706301,-9.999999776482582,42.6708984375,42.974609375
9,300,0.1383,0.1573,0.13998266666666667,20003.200362553587,-9.999999776482582,24.1279296875,35.0595703125
64,300,0.8223,0.8648,0.791405,24453.26539834891,-9.999999776482582,61.74609375,128.232421875
