shape,batch,repeats,p50_ms,p95_ms,mean_ms,dtype
256x256x256,1,5,0.3093,0.3309,0.30386,float32
256x256x256,16,5,3.9894,4.5791,4.14952,float32
512x512x512,1,5,1.0124,1.2146,1.0407199999999999,float32
512x512x512,16,5,16.9327,18.4966,17.14046,float32
1024x1024x1024,1,5,7.0917,8.4677,7.177460000000001,float32
1024x1024x1024,16,5,126.8021,141.9932,126.7535,float32
