shape,batch,repeats,p50_ms,p95_ms,mean_ms,dtype
256x256x256,1,5,0.3281,0.3722,0.33384,float32
256x256x256,16,5,4.7816,4.8535,4.76614,float32
512x512x512,1,5,1.2005,1.2948,1.19844,float32
512x512x512,16,5,21.0284,29.3263,22.578200000000002,float32
1024x1024x1024,1,5,7.9493,8.6678,7.981999999999999,float32
1024x1024x1024,16,5,139.2821,151.3339,141.27460000000002,float32
