concurrency,n_requests,p50_ms,p95_ms,mean_ms,throughput_rps,max_loop_lag_ms,alloc_cur_kb_delta,alloc_peak_kb
1,300,0.0133,0.018,0.014469333333333332,14751.58332061665,0.17819995991885662,29.263671875,29.263671875
9,300,0.0844,0.1076,0.087228,31975.442990440646,nan,20.4208984375,30.1240234375
64,300,0.6036,1.0184,0.7027789999999999,29566.55442610789,nan,55.30859375,117.255859375
