shape,batch,repeats,p50_ms,p95_ms,mean_ms,dtype
256x256x256,1,5,0.2839,0.3198,0.27906,float32
256x256x256,16,5,4.5145,5.6681,4.6716999999999995,float32
512x512x512,1,5,0.9837,1.0535,0.98164,float32
512x512x512,16,5,16.9183,19.6463,17.40526,float32
1024x1024x1024,1,5,6.9936,8.0637,6.93912,float32
1024x1024x1024,16,5,123.2564,129.5519,122.63134,float32
