concurrency,n_requests,p50_ms,p95_ms,mean_ms,throughput_rps,max_loop_lag_ms,alloc_cur_kb_delta,alloc_peak_kb
1,300,0.0133,0.0243,0.014666666666666668,15445.04876872716,0.07480056956410408,30.0849609375,30.0849609375
9,300,0.081,0.0961,0.08225966666666668,34067.68113422948,nan,20.8583984375,30.4697265625
64,300,0.5661,0.8593,0.582337,36248.08374037836,nan,55.2705078125,117.263671875
