concurrency,n_requests,p50_ms,p95_ms,mean_ms,throughput_rps,max_loop_lag_ms,alloc_cur_kb_delta,alloc_peak_kb
1,300,0.0132,0.0253,0.014661666666666668,14736.077066530102,0.1771007664501667,29.6767578125,29.6767578125
9,300,0.0828,0.1226,0.089129,30874.362093921172,nan,20.9716796875,30.62890625
64,300,0.5954,0.6966,0.5775290000000001,35236.910032277636,nan,55.30859375,117.255859375
