n_nodes,queue_max,max_inflight,process_delay_s,concurrency,n_requests,p50_ms,p95_ms,mean_ms,throughput_rps,alloc_cur_kb_delta,alloc_peak_kb
9,1024,1024,0.0,1,1200,0.0379,0.0515,0.044769666666666666,14545.295844482884,853.6943359375,1717.373046875
9,1024,1024,0.0,9,1200,0.235,0.3231,0.2772516666666667,18169.45741716214,833.4638671875,1693.5283203125
9,1024,1024,0.0,64,1200,1.4971,7.4765,1.7956629166666669,18569.61362025308,840.3779296875,1710.6357421875
