shape,batch,repeats,p50_ms,p95_ms,mean_ms,dtype
256x256x256,1,5,0.2408,0.4206,0.29154,float32
256x256x256,16,5,4.9943,5.5812,4.8501199999999995,float32
512x512x512,1,5,1.2317,1.3526,1.2413,float32
512x512x512,16,5,18.1566,18.4276,18.06736,float32
1024x1024x1024,1,5,7.3915,11.8982,8.29602,float32
1024x1024x1024,16,5,152.3615,165.5667,154.0138,float32
